title,company,location,link
Junior Equity Derivatives Trader,Guotai Junan International Holdings Limited,Central & Western Area,https://hk.jobsdb.com/hk/en/job/junior-equity-derivatives-trader-100003009365385?token=0~00ff707e-86d6-4b9d-9d32-50d4062f8445&sectionRank=22&jobId=jobsdb-hk-job-100003009365385
Junior Quantitative Developer / Trainee - Leading MNC Fintech Company / Welcome Fresh Graduates,Golden Siv Technology Limited,Wan Chai Area,https://hk.jobsdb.com/hk/en/job/junior-quantitative-developer-trainee-leading-mnc-fintech-company-welcome-fresh-graduates-100003009343511?token=0~00ff707e-86d6-4b9d-9d32-50d4062f8445&sectionRank=23&jobId=jobsdb-hk-job-100003009343511
Risk Associate / Analyst / Manager (Quantitative),Safe Investment Company Limited,Central,https://hk.jobsdb.com/hk/en/job/risk-associate-analyst-manager-quantitative-100003009356771?token=0~00ff707e-86d6-4b9d-9d32-50d4062f8445&sectionRank=24&jobId=jobsdb-hk-job-100003009356771
Crypto Trader,Pando Finance Limited,Central & Western Area,https://hk.jobsdb.com/hk/en/job/crypto-trader-100003009350826?token=0~00ff707e-86d6-4b9d-9d32-50d4062f8445&sectionRank=25&jobId=jobsdb-hk-job-100003009350826
CIB - Quantitative Research - Systematic Trading - Vice President,"JPMorgan Chase Bank, N.A.",None,https://hk.jobsdb.com/hk/en/job/cib-quantitative-research-systematic-trading-vice-president-100003009351121?token=0~00ff707e-86d6-4b9d-9d32-50d4062f8445&sectionRank=26&jobId=jobsdb-hk-job-100003009351121
Experienced Trader - Expressions of Interest,Eclipse Trading,Wan Chai,https://hk.jobsdb.com/hk/en/job/experienced-trader-expressions-of-interest-100003009350680?token=0~00ff707e-86d6-4b9d-9d32-50d4062f8445&sectionRank=27&jobId=jobsdb-hk-job-100003009350680
Position Title: - Junior Quantitative Developer  (May 2022),Enhanced Investment Products Limited,Central,https://hk.jobsdb.com/hk/en/job/position-title%3A-junior-quantitative-developer-may-2022-100003009339542?token=0~00ff707e-86d6-4b9d-9d32-50d4062f8445&sectionRank=28&jobId=jobsdb-hk-job-100003009339542
Fixed income Analyst/Assistant to Portfolio manager (Hong Kong Branch),Bank of China (Hong Kong) Limited,Central,https://hk.jobsdb.com/hk/en/job/fixed-income-analyst-assistant-to-portfolio-manager-hong-kong-branch-100003009356621?token=0~00ff707e-86d6-4b9d-9d32-50d4062f8445&sectionRank=29&jobId=jobsdb-hk-job-100003009356621
Junior Algorithm Analyst/Trader,Vista Financial Limited,Tsim Sha Tsui,https://hk.jobsdb.com/hk/en/job/junior-algorithm-analyst-trader-100003009344279?token=0~00ff707e-86d6-4b9d-9d32-50d4062f8445&sectionRank=30&jobId=jobsdb-hk-job-100003009344279
Low Latency C++ Engineer,Eclipse Trading,Wan Chai,https://hk.jobsdb.com/hk/en/job/low-latency-c-engineer-100003009339203?token=0~27367678-ba52-4090-a4d2-583a2854c870&sectionRank=31&jobId=jobsdb-hk-job-100003009339203
Quantitative Analyst,MacroValue Investors Limited,Wan Chai,https://hk.jobsdb.com/hk/en/job/quantitative-analyst-100003009314569?token=0~27367678-ba52-4090-a4d2-583a2854c870&sectionRank=32&jobId=jobsdb-hk-job-100003009314569
Senior Low Latency C++ Engineer,Eclipse Trading,Wan Chai,https://hk.jobsdb.com/hk/en/job/senior-low-latency-c-engineer-100003009339198?token=0~27367678-ba52-4090-a4d2-583a2854c870&sectionRank=33&jobId=jobsdb-hk-job-100003009339198
Java Software Engineer | Quant Platform,Ambitious People Group,None,https://hk.jobsdb.com/hk/en/job/java-software-engineer-%7C-quant-platform-100003009312547?token=0~27367678-ba52-4090-a4d2-583a2854c870&sectionRank=34&jobId=jobsdb-hk-job-100003009312547
Core C++ Engineer,Eclipse Trading,Wan Chai,https://hk.jobsdb.com/hk/en/job/core-c-engineer-100003009339207?token=0~27367678-ba52-4090-a4d2-583a2854c870&sectionRank=35&jobId=jobsdb-hk-job-100003009339207
CIB - Quantitative Research - Equity Derivatives - Vice President,"JPMorgan Chase Bank, N.A.",None,https://hk.jobsdb.com/hk/en/job/cib-quantitative-research-equity-derivatives-vice-president-100003009351109?token=0~27367678-ba52-4090-a4d2-583a2854c870&sectionRank=36&jobId=jobsdb-hk-job-100003009351109
Front Office Rapid Application Developer - Permanent,Michael Page,None,https://hk.jobsdb.com/hk/en/job/front-office-rapid-application-developer-permanent-100003009323069?token=0~27367678-ba52-4090-a4d2-583a2854c870&sectionRank=37&jobId=jobsdb-hk-job-100003009323069
"Associates, Senior Associates (Full Time)",Alton Aviation Consultancy,Central,https://hk.jobsdb.com/hk/en/job/associates-senior-associates-full-time-100003009341411?token=0~27367678-ba52-4090-a4d2-583a2854c870&sectionRank=38&jobId=jobsdb-hk-job-100003009341411
Buyer Side Application Support (Relocate to UK),TEKsystems,Central,https://hk.jobsdb.com/hk/en/job/buyer-side-application-support-relocate-to-uk-100003009323935?token=0~27367678-ba52-4090-a4d2-583a2854c870&sectionRank=39&jobId=jobsdb-hk-job-100003009323935
Web3 Researcher,Reap International Company Limited,None,https://hk.jobsdb.com/hk/en/job/web3-researcher-100003009360001?token=0~27367678-ba52-4090-a4d2-583a2854c870&sectionRank=40&jobId=jobsdb-hk-job-100003009360001
C++ Low Latency Engineer,Eclipse Trading,Others - China,https://hk.jobsdb.com/hk/en/job/c-low-latency-engineer-100003009319393?token=0~27367678-ba52-4090-a4d2-583a2854c870&sectionRank=41&jobId=jobsdb-hk-job-100003009319393
"ReactJS, NodeJS | MNC Trading platform",Ambitious People Group,None,https://hk.jobsdb.com/hk/en/job/reactjs-nodejs-%7C-mnc-trading-platform-100003009333137?token=0~27367678-ba52-4090-a4d2-583a2854c870&sectionRank=42&jobId=jobsdb-hk-job-100003009333137
C++ Developer (TradeFi),Virtual Economy Technology Limited,Central,https://hk.jobsdb.com/hk/en/job/c-developer-tradefi-100003009321841?token=0~27367678-ba52-4090-a4d2-583a2854c870&sectionRank=43&jobId=jobsdb-hk-job-100003009321841
Team Lead - Senior Low Latency C++ Engineer (Sydney),Eclipse Options (HK) Limited,Overseas,https://hk.jobsdb.com/hk/en/job/team-lead-senior-low-latency-c-engineer-sydney-100003009319398?token=0~27367678-ba52-4090-a4d2-583a2854c870&sectionRank=44&jobId=jobsdb-hk-job-100003009319398
Quant Developer,hi5 (Hong Kong) Limited,Central,https://hk.jobsdb.com/hk/en/job/quant-developer-100003009294582?token=0~27367678-ba52-4090-a4d2-583a2854c870&sectionRank=45&jobId=jobsdb-hk-job-100003009294582
Quantitative Research - Manager,Nuancetree Limited,Kowloon Bay,https://hk.jobsdb.com/hk/en/job/quantitative-research-manager-100003009332128?token=0~27367678-ba52-4090-a4d2-583a2854c870&sectionRank=46&jobId=jobsdb-hk-job-100003009332128
Blockchain Developer,Realm Digital Trading Limited,Admiralty,https://hk.jobsdb.com/hk/en/job/blockchain-developer-100003009325992?token=0~27367678-ba52-4090-a4d2-583a2854c870&sectionRank=47&jobId=jobsdb-hk-job-100003009325992
Proprietary Trader,nwt Ltd.,Kwun Tong,https://hk.jobsdb.com/hk/en/job/proprietary-trader-100003009322547?token=0~27367678-ba52-4090-a4d2-583a2854c870&sectionRank=48&jobId=jobsdb-hk-job-100003009322547
Java Developer (Algo Trading Platform),Robert Walters (HK),None,https://hk.jobsdb.com/hk/en/job/java-developer-algo-trading-platform-100003009306706?token=0~27367678-ba52-4090-a4d2-583a2854c870&sectionRank=49&jobId=jobsdb-hk-job-100003009306706
Trading Desk Developer,Huatai Financial Holdings (Hong Kong) Limited,Central,https://hk.jobsdb.com/hk/en/job/trading-desk-developer-100003009316996?token=0~27367678-ba52-4090-a4d2-583a2854c870&sectionRank=50&jobId=jobsdb-hk-job-100003009316996
Experienced Trader - Expressions of Interest,Eclipse Trading,Wan Chai,https://hk.jobsdb.com/hk/en/job/experienced-trader-expressions-of-interest-100003009310447?token=0~27367678-ba52-4090-a4d2-583a2854c870&sectionRank=51&jobId=jobsdb-hk-job-100003009310447
Senior Software Trading System Developer,Match Talent Limited,None,https://hk.jobsdb.com/hk/en/job/senior-software-trading-system-developer-100003009310250?token=0~27367678-ba52-4090-a4d2-583a2854c870&sectionRank=52&jobId=jobsdb-hk-job-100003009310250
Officer – Trading – Cash Trading Operation,Hong Kong Exchanges and Clearing Limited,Central,https://hk.jobsdb.com/hk/en/job/officer-trading-cash-trading-operation-100003009321904?token=0~27367678-ba52-4090-a4d2-583a2854c870&sectionRank=53&jobId=jobsdb-hk-job-100003009321904
Global Product Leader (Bangkok-based),Agoda International (Hong Kong) Limited,None,https://hk.jobsdb.com/hk/en/job/global-product-leader-bangkok-based-100003009323875?token=0~27367678-ba52-4090-a4d2-583a2854c870&sectionRank=54&jobId=jobsdb-hk-job-100003009323875
Low Latency C++ Engineer,Eclipse Trading,Wan Chai,https://hk.jobsdb.com/hk/en/job/low-latency-c-engineer-100003009300780?token=0~27367678-ba52-4090-a4d2-583a2854c870&sectionRank=55&jobId=jobsdb-hk-job-100003009300780
Software Engineer - Crypto Hedge Fund,Liquibit Capital,Central,https://hk.jobsdb.com/hk/en/job/software-engineer-crypto-hedge-fund-100003009312407?token=0~27367678-ba52-4090-a4d2-583a2854c870&sectionRank=56&jobId=jobsdb-hk-job-100003009312407
C++ Trading Algo Developer,AP Capital Investment (Hong Kong) Limited,None,https://hk.jobsdb.com/hk/en/job/c-trading-algo-developer-100003009325068?token=0~27367678-ba52-4090-a4d2-583a2854c870&sectionRank=57&jobId=jobsdb-hk-job-100003009325068
Senior Low Latency C++ Engineer,Eclipse Trading,Wan Chai,https://hk.jobsdb.com/hk/en/job/senior-low-latency-c-engineer-100003009300778?token=0~27367678-ba52-4090-a4d2-583a2854c870&sectionRank=58&jobId=jobsdb-hk-job-100003009300778
QA Manager,Babel Capital Limited,Central,https://hk.jobsdb.com/hk/en/job/qa-manager-100003009304167?token=0~27367678-ba52-4090-a4d2-583a2854c870&sectionRank=59&jobId=jobsdb-hk-job-100003009304167
Night Trader - Hedge Fund,Michael Page,Central & Western Area,https://hk.jobsdb.com/hk/en/job/night-trader-hedge-fund-100003009313563?token=0~27367678-ba52-4090-a4d2-583a2854c870&sectionRank=60&jobId=jobsdb-hk-job-100003009313563
Manager/ AVP - Bond Trader,Taishin International Bank Co Ltd,Yau Tsim Mong Area,https://hk.jobsdb.com/hk/en/job/manager-avp-bond-trader-100003009339874?token=0~c4dbe41b-8970-40fa-a884-714108372d9e&sectionRank=61&jobId=jobsdb-hk-job-100003009339874
Analyst Developer (Windows Application Development),Infocast Limited,Hung Hom,https://hk.jobsdb.com/hk/en/job/analyst-developer-windows-application-development-100003009352916?token=0~c4dbe41b-8970-40fa-a884-714108372d9e&sectionRank=62&jobId=jobsdb-hk-job-100003009352916
Developer,STELUX HOLDINGS LIMITED,Wong Tai Sin Area,https://hk.jobsdb.com/hk/en/job/developer-100003009362855?token=0~c4dbe41b-8970-40fa-a884-714108372d9e&sectionRank=63&jobId=jobsdb-hk-job-100003009362855
DCM Analyst / Associate (Hong Kong Branch),Bank of China (Hong Kong) Limited,Central,https://hk.jobsdb.com/hk/en/job/dcm-analyst-associate-hong-kong-branch-100003009355672?token=0~c4dbe41b-8970-40fa-a884-714108372d9e&sectionRank=64&jobId=jobsdb-hk-job-100003009355672
DCM Analyst / Associate (Hong Kong Branch),Bank of China (Hong Kong) Limited,Central,https://hk.jobsdb.com/hk/en/job/dcm-analyst-associate-hong-kong-branch-100003009356596?token=0~c4dbe41b-8970-40fa-a884-714108372d9e&sectionRank=65&jobId=jobsdb-hk-job-100003009356596
Blockchain Developer (Trade Support / Operations),Suppaw Limited,None,https://hk.jobsdb.com/hk/en/job/blockchain-developer-trade-support-operations-100003009343424?token=0~c4dbe41b-8970-40fa-a884-714108372d9e&sectionRank=66&jobId=jobsdb-hk-job-100003009343424
Quantitative Research - Manager,Nuancetree Limited,Kowloon Bay,https://hk.jobsdb.com/hk/en/job/quantitative-research-manager-100003009332128?token=0~c4dbe41b-8970-40fa-a884-714108372d9e&sectionRank=67&jobId=jobsdb-hk-job-100003009332128
Delta One Trader,Ambition,None,https://hk.jobsdb.com/hk/en/job/delta-one-trader-100003009344746?token=0~c4dbe41b-8970-40fa-a884-714108372d9e&sectionRank=68&jobId=jobsdb-hk-job-100003009344746
C++ Low Latency Engineer,Eclipse Trading,Others - China,https://hk.jobsdb.com/hk/en/job/c-low-latency-engineer-100003009319393?token=0~c4dbe41b-8970-40fa-a884-714108372d9e&sectionRank=69&jobId=jobsdb-hk-job-100003009319393
"Digital Marketing Data Analyst | $40,000 #Cryptocurrency #Blockchain #CFD #Fintech",JF Talent Consulting Group,Tsim Sha Tsui,https://hk.jobsdb.com/hk/en/job/digital-marketing-data-analyst-%7C-%2440-000-cryptocurrency-blockchain-cfd-fintech-100003009352577?token=0~c4dbe41b-8970-40fa-a884-714108372d9e&sectionRank=70&jobId=jobsdb-hk-job-100003009352577
Dealer (Global Markets Rates Trading Division),Bank of China (Hong Kong) Limited,Central,https://hk.jobsdb.com/hk/en/job/dealer-global-markets-rates-trading-division-100003009329832?token=0~c4dbe41b-8970-40fa-a884-714108372d9e&sectionRank=71&jobId=jobsdb-hk-job-100003009329832
Associate Director (Quantitative),IPSOS Asia Limited,Hung Hom,https://hk.jobsdb.com/hk/en/job/associate-director-quantitative-100003009342353?token=0~c4dbe41b-8970-40fa-a884-714108372d9e&sectionRank=72&jobId=jobsdb-hk-job-100003009342353
C++ Developer (TradeFi),Virtual Economy Technology Limited,Central,https://hk.jobsdb.com/hk/en/job/c-developer-tradefi-100003009321841?token=0~c4dbe41b-8970-40fa-a884-714108372d9e&sectionRank=73&jobId=jobsdb-hk-job-100003009321841
"Analyst, Consumer Insights (2-year renewable contract)",Hong Kong Tourism Board,Tin Hau,https://hk.jobsdb.com/hk/en/job/analyst-consumer-insights-2-year-renewable-contract-100003009343344?token=0~c4dbe41b-8970-40fa-a884-714108372d9e&sectionRank=74&jobId=jobsdb-hk-job-100003009343344
Research Executive - Quantitative (Grad Job),IPSOS Asia Limited,Hung Hom,https://hk.jobsdb.com/hk/en/job/research-executive-quantitative-grad-job-100003009342349?token=0~c4dbe41b-8970-40fa-a884-714108372d9e&sectionRank=75&jobId=jobsdb-hk-job-100003009342349
Associate – Trading Development (Platforms & Analytics),Hong Kong Exchanges and Clearing Limited,Central,https://hk.jobsdb.com/hk/en/job/associate-trading-development-platforms-analytics-100003009343066?token=0~c4dbe41b-8970-40fa-a884-714108372d9e&sectionRank=76&jobId=jobsdb-hk-job-100003009343066
Team Lead - Senior Low Latency C++ Engineer (Sydney),Eclipse Options (HK) Limited,Overseas,https://hk.jobsdb.com/hk/en/job/team-lead-senior-low-latency-c-engineer-sydney-100003009319398?token=0~c4dbe41b-8970-40fa-a884-714108372d9e&sectionRank=77&jobId=jobsdb-hk-job-100003009319398
C++ Trading Algo Developer,AP Capital Investment (Hong Kong) Limited,None,https://hk.jobsdb.com/hk/en/job/c-trading-algo-developer-100003009325068?token=0~c4dbe41b-8970-40fa-a884-714108372d9e&sectionRank=78&jobId=jobsdb-hk-job-100003009325068
Experienced Trader - Expressions of Interest,Eclipse Trading,Wan Chai,https://hk.jobsdb.com/hk/en/job/experienced-trader-expressions-of-interest-100003009310447?token=0~c4dbe41b-8970-40fa-a884-714108372d9e&sectionRank=79&jobId=jobsdb-hk-job-100003009310447
Senior Backend Engineer/Backend Engineer - Fast-growing BaaS R3 Corda EVM public blockchain pioneer,Alexis Services Limited,Shatin Area,https://hk.jobsdb.com/hk/en/job/senior-backend-engineer-backend-engineer-fast-growing-baas-r3-corda-evm-public-blockchain-pioneer-100003009344019?token=0~c4dbe41b-8970-40fa-a884-714108372d9e&sectionRank=80&jobId=jobsdb-hk-job-100003009344019
Front Office Rapid Application Developer - Permanent,Michael Page,None,https://hk.jobsdb.com/hk/en/job/front-office-rapid-application-developer-permanent-100003009323069?token=0~c4dbe41b-8970-40fa-a884-714108372d9e&sectionRank=81&jobId=jobsdb-hk-job-100003009323069
"VP, Senior Java Developer - Global Bank",Hays,None,https://hk.jobsdb.com/hk/en/job/vp-senior-java-developer-global-bank-100003009331939?token=0~c4dbe41b-8970-40fa-a884-714108372d9e&sectionRank=82&jobId=jobsdb-hk-job-100003009331939
C++ Blockchain Developer,Dreamwalk Technologies Limited,Central,https://hk.jobsdb.com/hk/en/job/c-blockchain-developer-100003009341248?token=0~c4dbe41b-8970-40fa-a884-714108372d9e&sectionRank=83&jobId=jobsdb-hk-job-100003009341248
Senior Software Trading System Developer,Match Talent Limited,None,https://hk.jobsdb.com/hk/en/job/senior-software-trading-system-developer-100003009310250?token=0~c4dbe41b-8970-40fa-a884-714108372d9e&sectionRank=84&jobId=jobsdb-hk-job-100003009310250
QA Manager,Babel Capital Limited,Central,https://hk.jobsdb.com/hk/en/job/qa-manager-100003009304167?token=0~c4dbe41b-8970-40fa-a884-714108372d9e&sectionRank=85&jobId=jobsdb-hk-job-100003009304167
"Associates, Senior Associates (Full Time)",Alton Aviation Consultancy,Central,https://hk.jobsdb.com/hk/en/job/associates-senior-associates-full-time-100003009341411?token=0~c4dbe41b-8970-40fa-a884-714108372d9e&sectionRank=86&jobId=jobsdb-hk-job-100003009341411
Quant Developer,hi5 (Hong Kong) Limited,Central,https://hk.jobsdb.com/hk/en/job/quant-developer-100003009294582?token=0~c4dbe41b-8970-40fa-a884-714108372d9e&sectionRank=87&jobId=jobsdb-hk-job-100003009294582
Blockchain Apps Developer,"Eagle Partners (International) Co., Limited",None,https://hk.jobsdb.com/hk/en/job/blockchain-apps-developer-100003009334062?token=0~c4dbe41b-8970-40fa-a884-714108372d9e&sectionRank=88&jobId=jobsdb-hk-job-100003009334062
Buyer Side Application Support (Relocate to UK),TEKsystems,Central,https://hk.jobsdb.com/hk/en/job/buyer-side-application-support-relocate-to-uk-100003009323935?token=0~c4dbe41b-8970-40fa-a884-714108372d9e&sectionRank=89&jobId=jobsdb-hk-job-100003009323935
"Risk Management Manager, Credit Risk Modelling (Banking) (1-year contract, subjects to renewable)",Hong Kong Job Consulting,Sheung Wan,https://hk.jobsdb.com/hk/en/job/risk-management-manager-credit-risk-modelling-banking-1-year-contract-subjects-to-renewable-100003009332746?token=0~c4dbe41b-8970-40fa-a884-714108372d9e&sectionRank=90&jobId=jobsdb-hk-job-100003009332746
CIB - Equity - SE Asia Warrant Trading - Associate,"JPMorgan Chase Bank, N.A.",None,https://hk.jobsdb.com/hk/en/job/cib-equity-se-asia-warrant-trading-associate-100003009290146?token=0~7ba255bd-bc5f-4efc-aa5e-42d57df944a5&sectionRank=91&jobId=jobsdb-hk-job-100003009290146
Dev Ops SRE - Trading Technology - Trade Floor Support - VP,"JPMorgan Chase Bank, N.A.",None,https://hk.jobsdb.com/hk/en/job/dev-ops-sre-trading-technology-trade-floor-support-vp-100003009290213?token=0~7ba255bd-bc5f-4efc-aa5e-42d57df944a5&sectionRank=92&jobId=jobsdb-hk-job-100003009290213
Web Developer,Hai Kang Life Corporation Ltd,Shatin Area,https://hk.jobsdb.com/hk/en/job/web-developer-100003009345963?token=0~7ba255bd-bc5f-4efc-aa5e-42d57df944a5&sectionRank=93&jobId=jobsdb-hk-job-100003009345963
Business Development Executive,Informa Markets Asia Limited,Wan Chai,https://hk.jobsdb.com/hk/en/job/business-development-executive-100003009337050?token=0~7ba255bd-bc5f-4efc-aa5e-42d57df944a5&sectionRank=94&jobId=jobsdb-hk-job-100003009337050
Mobile Developer | World-leading Digital Asset Trading Platform,Ambitious People Group,None,https://hk.jobsdb.com/hk/en/job/mobile-developer-%7C-world-leading-digital-asset-trading-platform-100003009322039?token=0~7ba255bd-bc5f-4efc-aa5e-42d57df944a5&sectionRank=95&jobId=jobsdb-hk-job-100003009322039
Vice President / Executive Director,Nomura International (Hong Kong) Limited,None,https://hk.jobsdb.com/hk/en/job/vice-president-executive-director-100003009338279?token=0~7ba255bd-bc5f-4efc-aa5e-42d57df944a5&sectionRank=96&jobId=jobsdb-hk-job-100003009338279
Quant Analyst,Carisbrook Partners,Others,https://hk.jobsdb.com/hk/en/job/quant-analyst-110000000076169?token=0~7ba255bd-bc5f-4efc-aa5e-42d57df944a5&sectionRank=97&jobId=jobsdb-hk-job-110000000076169
Quant Analyst,Carisbrook Partners,Others,https://hk.jobsdb.com/hk/en/job/quant-analyst-110000000083583?token=0~7ba255bd-bc5f-4efc-aa5e-42d57df944a5&sectionRank=98&jobId=jobsdb-hk-job-110000000083583
Quant - Electronic Trading,Finance Network,Others,https://hk.jobsdb.com/hk/en/job/quant-electronic-trading-110000000096590?token=0~7ba255bd-bc5f-4efc-aa5e-42d57df944a5&sectionRank=99&jobId=jobsdb-hk-job-110000000096590
"Quant Trader,Associate",Goldman Sachs,Others,https://hk.jobsdb.com/hk/en/job/quant-trader-associate-110000000094614?token=0~7ba255bd-bc5f-4efc-aa5e-42d57df944a5&sectionRank=100&jobId=jobsdb-hk-job-110000000094614
Quant Developer,UBS,Others,https://hk.jobsdb.com/hk/en/job/quant-developer-110000000084449?token=0~7ba255bd-bc5f-4efc-aa5e-42d57df944a5&sectionRank=101&jobId=jobsdb-hk-job-110000000084449
Quantitative Researcher,Morgan Stanley,Others,https://hk.jobsdb.com/hk/en/job/quantitative-researcher-110000000099293?token=0~7ba255bd-bc5f-4efc-aa5e-42d57df944a5&sectionRank=102&jobId=jobsdb-hk-job-110000000099293
Quantitative Analyst,UBS,Others,https://hk.jobsdb.com/hk/en/job/quantitative-analyst-110000000098970?token=0~7ba255bd-bc5f-4efc-aa5e-42d57df944a5&sectionRank=103&jobId=jobsdb-hk-job-110000000098970
"Assistant Portfolio Manager,Quantitative Developer",Selby Jennings,Others,https://hk.jobsdb.com/hk/en/job/assistant-portfolio-manager-quantitative-developer-110000000085047?token=0~7ba255bd-bc5f-4efc-aa5e-42d57df944a5&sectionRank=104&jobId=jobsdb-hk-job-110000000085047
KDB Developer,HSBC,Others,https://hk.jobsdb.com/hk/en/job/kdb-developer-110000000100021?token=0~7ba255bd-bc5f-4efc-aa5e-42d57df944a5&sectionRank=105&jobId=jobsdb-hk-job-110000000100021
Associate,Goldman Sachs,Others,https://hk.jobsdb.com/hk/en/job/associate-110000000064664?token=0~7ba255bd-bc5f-4efc-aa5e-42d57df944a5&sectionRank=106&jobId=jobsdb-hk-job-110000000064664
Trading Desk Developer,Huatai Financial,Others,https://hk.jobsdb.com/hk/en/job/trading-desk-developer-110000000076039?token=0~7ba255bd-bc5f-4efc-aa5e-42d57df944a5&sectionRank=107&jobId=jobsdb-hk-job-110000000076039
Quantitative Manager,HSBC,Others,https://hk.jobsdb.com/hk/en/job/quantitative-manager-110000000088399?token=0~7ba255bd-bc5f-4efc-aa5e-42d57df944a5&sectionRank=108&jobId=jobsdb-hk-job-110000000088399
Applications Support Senior Analyst,Citi,Others,https://hk.jobsdb.com/hk/en/job/applications-support-senior-analyst-110000000099850?token=0~7ba255bd-bc5f-4efc-aa5e-42d57df944a5&sectionRank=109&jobId=jobsdb-hk-job-110000000099850
Analytics Consultant,MSCI,Others,https://hk.jobsdb.com/hk/en/job/analytics-consultant-110000000064239?token=0~7ba255bd-bc5f-4efc-aa5e-42d57df944a5&sectionRank=110&jobId=jobsdb-hk-job-110000000064239
Software Engineer,Goldman Sachs,Others,https://hk.jobsdb.com/hk/en/job/software-engineer-110000000072101?token=0~7ba255bd-bc5f-4efc-aa5e-42d57df944a5&sectionRank=111&jobId=jobsdb-hk-job-110000000072101
Quantitative Manager,HSBC,Shau Kei Wan,https://hk.jobsdb.com/hk/en/job/quantitative-manager-110000000085124?token=0~7ba255bd-bc5f-4efc-aa5e-42d57df944a5&sectionRank=112&jobId=jobsdb-hk-job-110000000085124
Production Support Specialist,HSBC,Shatin Area,https://hk.jobsdb.com/hk/en/job/production-support-specialist-110000000085981?token=0~7ba255bd-bc5f-4efc-aa5e-42d57df944a5&sectionRank=113&jobId=jobsdb-hk-job-110000000085981
Trader,Citi,Others,https://hk.jobsdb.com/hk/en/job/trader-110000000087897?token=0~7ba255bd-bc5f-4efc-aa5e-42d57df944a5&sectionRank=114&jobId=jobsdb-hk-job-110000000087897
Quantitative Analyst,UBS,Others,https://hk.jobsdb.com/hk/en/job/quantitative-analyst-110000000073866?token=0~7ba255bd-bc5f-4efc-aa5e-42d57df944a5&sectionRank=115&jobId=jobsdb-hk-job-110000000073866
KDB Developer,HSBC,Others,https://hk.jobsdb.com/hk/en/job/kdb-developer-110000000072690?token=0~7ba255bd-bc5f-4efc-aa5e-42d57df944a5&sectionRank=116&jobId=jobsdb-hk-job-110000000072690
Senior Software Engineer,UBS,Others,https://hk.jobsdb.com/hk/en/job/senior-software-engineer-110000000073458?token=0~7ba255bd-bc5f-4efc-aa5e-42d57df944a5&sectionRank=117&jobId=jobsdb-hk-job-110000000073458
Technical Engineer,UBS,Others,https://hk.jobsdb.com/hk/en/job/technical-engineer-110000000071896?token=0~7ba255bd-bc5f-4efc-aa5e-42d57df944a5&sectionRank=118&jobId=jobsdb-hk-job-110000000071896
Business Strategy Manager,Bank of China (Hong Kong),Others,https://hk.jobsdb.com/hk/en/job/business-strategy-manager-110000000067466?token=0~7ba255bd-bc5f-4efc-aa5e-42d57df944a5&sectionRank=119&jobId=jobsdb-hk-job-110000000067466
Electronic Sales,Nomura,Others,https://hk.jobsdb.com/hk/en/job/electronic-sales-110000000098133?token=0~7ba255bd-bc5f-4efc-aa5e-42d57df944a5&sectionRank=120&jobId=jobsdb-hk-job-110000000098133
Trading Systems Support Engineer,Eclipse Trading,Wan Chai,https://hk.jobsdb.com/hk/en/job/trading-systems-support-engineer-100003009310553?token=0~4f5ce504-d079-484d-839f-28affd6f5767&sectionRank=121&jobId=jobsdb-hk-job-100003009310553
Software Engineer - C# / .NET,Eclipse Trading,Wan Chai,https://hk.jobsdb.com/hk/en/job/software-engineer-c-.net-100003009310423?token=0~4f5ce504-d079-484d-839f-28affd6f5767&sectionRank=122&jobId=jobsdb-hk-job-100003009310423
Business Developer - FinTech Trading Platform,Page Personnel,None,https://hk.jobsdb.com/hk/en/job/business-developer-fintech-trading-platform-100003009308712?token=0~4f5ce504-d079-484d-839f-28affd6f5767&sectionRank=123&jobId=jobsdb-hk-job-100003009308712
Senior Algo Developer (C++),Hays,None,https://hk.jobsdb.com/hk/en/job/senior-algo-developer-c-100003009295387?token=0~4f5ce504-d079-484d-839f-28affd6f5767&sectionRank=124&jobId=jobsdb-hk-job-100003009295387
Java developer,Hong Kong BGE Limited,Sheung Wan,https://hk.jobsdb.com/hk/en/job/java-developer-100003009281849?token=0~4f5ce504-d079-484d-839f-28affd6f5767&sectionRank=125&jobId=jobsdb-hk-job-100003009281849
Fund Investment Manager/ Facilitation Trader,GF Holdings (Hong Kong) Corporation Ltd,None,https://hk.jobsdb.com/hk/en/job/fund-investment-manager-facilitation-trader-100003009303116?token=0~4f5ce504-d079-484d-839f-28affd6f5767&sectionRank=126&jobId=jobsdb-hk-job-100003009303116
Technical Specialist for Crypto & Block Chain,Tab Next Limited,Lai Chi Kok,https://hk.jobsdb.com/hk/en/job/technical-specialist-for-crypto-block-chain-100003009306598?token=0~4f5ce504-d079-484d-839f-28affd6f5767&sectionRank=127&jobId=jobsdb-hk-job-100003009306598
Team Lead - Senior Low Latency C++ Engineer (Sydney),Eclipse Options (HK) Limited,Overseas,https://hk.jobsdb.com/hk/en/job/team-lead-senior-low-latency-c-engineer-sydney-100003009288178?token=0~4f5ce504-d079-484d-839f-28affd6f5767&sectionRank=128&jobId=jobsdb-hk-job-100003009288178
